RNase,260_230
None,2.37
None,2.34
None,2.32
None,2.27
None,2.25
None,2.35
None,2.57
None,2.46
None,2.23
None,2.31
None,2.33
None,2.41
None,3.44
None,2.98
None,3.53
None,3.33
None,3.33
None,4.06
None,3.70
None,3.43
None,3.20
None,3.62
Added,1.46
Added,1.65
Added,1.37
Added,1.36
Added,1.66
Added,1.54
Added,1.78
Added,1.32
Added,1.64
Added,1.50
Added,1.60
Added,1.64
Added,1.51
Added,1.60
Added,1.64
Added,1.59
Added,1.61
Added,1.79
Added,1.49
Added,1.57
Added,1.52
Added,1.49
Added,1.37
Added,1.49
