Extraction Kit ,DNA yield,Sample
NEB Monarch,9.31,12
NEB Monarch,4.93,9
NEB Monarch,5.55,9
NEB Monarch,4.53,9
NEB Monarch,7.26,10
NEB Monarch,6.72,10
NEB Monarch,7.61,10
NEB Monarch,6.66,11
NEB Monarch,6.27,11
NEB Monarch,7.38,11
NEB Monarch,10.20,12
NEB Monarch,9.29,12
NEB Monarch,10.10,12
NEB Monarch,4.20,9
NEB Monarch,2.93,9
NEB Monarch,2.97,9
NEB Monarch,8.01,10
NEB Monarch,5.46,10
NEB Monarch,6.39,10
NEB Monarch,5.79,11
NEB Monarch,4.51,11
NEB Monarch,3.78,11
NEB Monarch,5.05,12
NEB Monarch,3.39,12
NEB Monarch,4.53,12
Zymo Miniprep,1.84,9
Zymo Miniprep,2.27,9
Zymo Miniprep,2.21,9
Zymo Miniprep,1.89,10
Zymo Miniprep,4.08,10
Zymo Miniprep,1.88,10
Zymo Miniprep,1.89,11
Zymo Miniprep,3.11,11
Zymo Miniprep,1.5,11
Zymo Miniprep,5.01,12
Zymo Miniprep,3.54,12
Zymo Miniprep,1.86,12
Zymo Miniprep,2.74,9
Zymo Miniprep,3.3,9
Zymo Miniprep,3.44,9
Zymo Miniprep,5.6,10
Zymo Miniprep,4.05,10
Zymo Miniprep,7.53,10
Zymo Miniprep,4.39,11
Zymo Miniprep,4.29,11
Zymo Miniprep,3.14,11
Zymo Miniprep,3.68,12
Zymo Miniprep,7.16,12
Zymo Miniprep,5.42,12
Zymo Miniprep,5.28,9
Zymo Miniprep,6.49,9
Zymo Miniprep,6.97,9
Zymo Miniprep,10.9,10
Zymo Miniprep,6.59,10
Zymo Miniprep,10.2,10
Zymo Miniprep,7.79,11
Zymo Miniprep,8.79,11
Zymo Miniprep,11.3,11
Zymo Miniprep,6.38,12
Zymo Miniprep,3.55,12
Zymo Miniprep,4.58,12
